lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	condition; continuance; dalliance; existing; exists; meaning; purport; rank; such is the sense; supposition; that which is; the fundamental notion of the verb; the sense conveyed by the abstract noun; thing; true condition
BAva	BAva/	praatipadika	1	affection; affections; an organ of sense; attachment; emotion; feeling; heart; love; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	2	any state of mind and body; conjecture; contemplation; disposition; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; to be ill disposed against; way of thinking
BAva	BAva/	praatipadika	3	a discreet; appearance; behaviour; being; character; conduct; manner of acting; manner of being; occurring
BAva	BAva/	praatipadika	4	condition of a planet; reality; substance; superhuman power; the Supreme Being; the world; truth; universe
BAva	BAva/	praatipadika	5	becoming; birth; place of birth; the womb; transition into; turning
BAva	BAva/	praatipadika	6	an astrological house; lunar mansion
BAva	BAva/	praatipadika	7	advice; instruction
BAva	BAva/	praatipadika	8	state; the state
BAva	BAva/	praatipadika	9	Name of the 27th Kalpa
BAva	BAva/	praatipadika	10	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	11	animals
BAva	BAva/	praatipadika	12	learned man
BAva	BAva/	praatipadika	13	living creature all earthly objects
BAva	BAva/	praatipadika	14	nature
BAva	BAva/	praatipadika	15	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	16	plants
BAva	BAva/	praatipadika	17	to make a firm resolution
BAva	BAva/	praatipadika	18	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	a place; arising; becoming; being; existing; matter; object; spot; springing; the act of becoming; the place of being
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	earth; land; space; the earth; universe; world
BU	BU/	dhaatu	2	floor; ground; landed property; pavement; piece of ground; soil
BU	BU/	dhaatu	3	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU/	dhaatu	4	a sacrificial fire
BU	BU/	dhaatu	5	one of the three Vyāhṛtis
BU	BU/	dhaatu	6	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified; Law; justice; law; morality; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	associating with the virtuous; devotion; duty; essential quality; religion; religious abstraction; religious merit; sacrifice; virtue
Darma	Da/rma	praatipadika	3	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	4	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	5	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	6	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	7	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	8	practice; usage
Darma	Da/rma	praatipadika	9	Name of a lexicographer
Darma	Da/rma	praatipadika	10	a Soma-drinker
Darma	Da/rma	praatipadika	11	a bow
Darma	Da/rma	praatipadika	12	character
Darma	Da/rma	praatipadika	13	firm
Darma	Da/rma	praatipadika	14	good works
Darma	Da/rma	praatipadika	15	mark
Darma	Da/rma	praatipadika	16	nature
Darma	Da/rma	praatipadika	17	property
Darma	Da/rma	praatipadika	18	right
Darma	Da/rma	praatipadika	19	the ninth mansion
agra	a/gra	praatipadika	0	chief; front; prominent; sharpness; surface; tip; top
agra	agra	praatipadika	0	remainder
agra	a/gra	praatipadika	1	summit; the beginning; the climax; the nearest end; uppermost part
agra	agra	praatipadika	1	rest
agra	a/gra	praatipadika	2	best; best part; first; foremost; foremost point
agra	a/gra	praatipadika	3	and hence; anterior; figuratively; part; projecting
agra	a/gra	praatipadika	4	aim; goal; point
agra	a/gra	praatipadika	5	a measure of food given as alms
agra	a/gra	praatipadika	6	a weight
agra	a/gra	praatipadika	7	equal to a pala
agra	a/gra	praatipadika	8	multitude
agra	a/gra	praatipadika	9	supernumerary
agra	a/gra	praatipadika	10	the sun's amplitude
arTa	a/rTa	praatipadika	0	action; aim; kind; manner; object; property; sense
arTa	a/rTa	praatipadika	1	cause; meaning; motive; purpose; reason; use
arTa	a/rTa	praatipadika	2	affair; having to do with; notion; object of the senses; thing
arTa	a/rTa	praatipadika	3	advantage; opulence; substance; utility
arTa	a/rTa	praatipadika	4	money; price; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	5	prevention; prohibition
arTa	a/rTa	praatipadika	6	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	7	needing anything; wanting
arTa	a/rTa	praatipadika	8	Buddhi
arTa	a/rTa	praatipadika	9	Name of the second mansion
arTa	a/rTa	praatipadika	10	concern
arTa	a/rTa	praatipadika	11	lawsuit
arTa	a/rTa	praatipadika	12	personified as the son of Dharma
