lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	1	becoming; behaviour; condition; conduct; conjecture; contemplation; continuance; disposition; existing; instruction; learned man; occurring; rank; to be ill disposed against; transition into; true condition; turning
BAva	BAva/	praatipadika	2	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking
BAva	BAva/	praatipadika	3	an astrological house; condition of a planet; exists; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; reality; the world; truth; universe
BAva	BAva/	praatipadika	4	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; animals; appearance; character; dalliance; purport; state; substance; the state; thing
BAva	BAva/	praatipadika	5	birth; place of birth; the womb
BAva	BAva/	praatipadika	6	to make a firm resolution
BAva	BAva/	praatipadika	7	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	a place; floor; ground; pavement; piece of ground; space; spot; the base of any geometrical figure
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	a sacrificial fire; arising; becoming; being; existing; springing; the act of becoming; the place of being
BU	BU/	dhaatu	2	earth; matter; object; the earth; universe; world
BU	BU/	dhaatu	3	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one
BU	BU/	dhaatu	4	land; landed property; soil
Darma	Da/rma	praatipadika	0	a Soma-drinker; a bow; an Upaniṣad; character; essential quality; good works; mark; nature; of Uśanas; peculiar condition; peculiarity; right; that which is established; usage
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Justice personified; Law; duty; firm; justice; law; morality; ordinance; practice; prescribed conduct; property; statute; steadfast decree; the law
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	a particular ceremony; associating with the virtuous; customary observance; devotion; doctrine of Buddhism; religion; religious abstraction; religious merit; sacrifice; the ethical precepts of Buddhism; the law of Northern Buddhism; virtue
Darma	Da/rma	praatipadika	3	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Da/rma	praatipadika	4	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	5	the ninth mansion
agra	a/gra	praatipadika	0	aim; goal; point; projecting; sharpness; tip
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a weight; equal to a pala; front; part; surface
agra	a/gra	praatipadika	2	best; best part; the climax; the nearest end; uppermost part
agra	a/gra	praatipadika	3	and hence; anterior; figuratively; multitude
agra	a/gra	praatipadika	4	chief; prominent; summit; top
agra	a/gra	praatipadika	5	first; foremost; foremost point; the beginning
agra	a/gra	praatipadika	6	a measure of food given as alms
agra	a/gra	praatipadika	7	supernumerary
agra	a/gra	praatipadika	8	the sun's amplitude
arTa	a/rTa	praatipadika	0	advantage; cause; concern; motive; prevention; prohibition; reason; use; utility
arTa	a/rTa	praatipadika	1	Name of the second mansion; money; price; property; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	2	meaning; object; object of the senses; purpose; sense; substance
arTa	a/rTa	praatipadika	3	affair; kind; manner; notion; opulence
arTa	a/rTa	praatipadika	4	action; having to do with; take up one's work; to go to one's business
arTa	a/rTa	praatipadika	5	aim; needing anything; thing; wanting
arTa	a/rTa	praatipadika	6	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	7	lawsuit
arTa	a/rTa	praatipadika	8	the number five
banD	banD	dhaatu	0	betray to be bound by the fetters of existence; cause; contract; evil; sacrifice; sin again; suffer; to attach to world; to bind; to bind a sacrificial victim; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to sin
banD	banD	dhaatu	1	arrange; compose; construct; constructed; fix; make; produce anything in this way; produce in any way; put on; put together; set up; strike; to fix; to form; to join; unite
banD	banD	dhaatu	2	capture; catch; hold back; hold captive; imprison; restrain; shut; stop; suppress; take; take up; to arrest; to catch; to punish
banD	banD	dhaatu	3	bend; bridge over; chain; chastise; clench; close; dammed up; fetter; fold; knit; rivet on; span; tie
banD	banD	dhaatu	4	assume; cherish; direct; do; effect; exhibit; fasten; offer; show; that is experience; to entertain
banD	banD	dhaatu	5	bear
banD	banD	dhaatu	6	conceive
banD	banD	dhaatu	7	to be affected by id est
brahman	bra/hman	praatipadika	0	communicators of sacred knowledge; holy life; outpouring of the heart in worshipping the gods; pious effusion; prayer; religious; spiritual knowledge; the sacred word
brahman	brahma/n	praatipadika	0	Brahmā; Name of Bṛhas-pati; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; a particular Kalpa; spells; the Veda; δ Aurigae; Ṛtvijas
brahman	bra/hman	praatipadika	1	final emancipation; one self-existent impersonal Spirit; the Absolute; the Eternal; the Self-existent; the one universal Soul
brahman	brahma/n	praatipadika	1	Name of a magician; a devout; as the first of the triad of personal gods; one of the 4 principal priests; one versed in sacred knowledge; one who prays; religious man; the intellect; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	2	Mantra used as a spell; a sacred text; a text; the sacred syllable Om; utterance
brahman	brahma/n	praatipadika	2	Name of a star; a particular astronomy Yoga; the sun
brahman	bra/hman	praatipadika	3	the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Veda
brahman	brahma/n	praatipadika	3	a Brāhman who is a knower of Vedic texts; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	4	food
brahman	bra/hman	praatipadika	5	the class of men who are the repositories
brahman	bra/hman	praatipadika	6	wealth
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	agitated; answer; curious; different; riddle; sky; spotted; strange; strange!; wonder
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Plumbago zeylanica; Ricinus communis; a forestof variegated appearance  on; having different varieties; manifold; speckled; variegated; various
citra	citra/	praatipadika	2	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra; a form of Yama; a sectarial mark on the forehead
citra	citra/	praatipadika	3	a bright; anything bright; bright; bright-coloured; coloured which strikes the eyes; extraordinary appearance; variety of colour
citra	citra/	praatipadika	4	a brilliant ornament; a picture; a spot; conspicuous; ornament; other fanciful figures; sketch
citra	citra/	praatipadika	5	clear; delineation; distinguished; excellent; wonderful
citra	citra/	praatipadika	6	containing the word; facetious conversation; punning in the form of question
citra	citra/	praatipadika	7	Jonesia Aśoka
citra	citra/	praatipadika	8	arranging verses in the shape of mathematical
citra	citra/	praatipadika	9	the ether
citra	citra/	praatipadika	10	various modes of writing
dfS	df/S	praatipadika	0	appearance; seeing; sight; the eye; view; viewing
dfS	dfS	praatipadika	0	care for; consider; examine; find out; learn; look at; look into; regard; think; try; visit
dfS	df/S	praatipadika	1	discerning; doctrine; knowing; theory
dfS	dfS	praatipadika	1	become visible; demonstrate; manifested; to be always visible; to be shown; to cause to see; to show a thing; to show or prove; to wish to show
dfS	df/S	praatipadika	2	look; looking at
dfS	dfS	praatipadika	2	be seen; to be seen; to see; to see by divine intuition; to see with the mind; to wait on; to wish to see
dfS	df/S	praatipadika	3	the aspect of a planet; the observed spot
dfS	dfS	praatipadika	3	behold; compose; contrive Aorist; long for; person; to; understand
dfS	dfS	praatipadika	4	to notice
dfS	dfS	praatipadika	5	appear
dfS	dfS	praatipadika	6	to produce or pay
eka	e/ka	praatipadika	0	a; an; chief; excellent; following; pre-eminent; sincere; truthful; with preceding
eka	e/ka	praatipadika	1	alone; little; no one; nobody; single; single of its kind; small; solitary; that one only
eka	e/ka	praatipadika	2	a unit; identical; many; the same; unique; unity
eka	e/ka	praatipadika	3	happening only once; one; one by one; one of two
eka	e/ka	praatipadika	4	Name of a son of Raya
eka	e/ka	praatipadika	5	Name of a teacher
eka	e/ka	praatipadika	6	singular
eva	e/va	praatipadika	0	going; moving; quick; speedy
eva	eva/	avyaya	0	exactly so; indeed; just so; really; so; still; truly
eva	e/va	praatipadika	1	custom; habit; usage
eva	eva/	avyaya	1	affirmation; detraction; diminution; is a mere expletive without any exact meaning and not translatable implies emphasis; merely; restrainment
eva	e/va	praatipadika	2	conduct; manner of acting; proceeding
eva	eva/	avyaya	2	already; command; immediately on; same
eva	e/va	praatipadika	3	the earth; way; world
eva	eva/	avyaya	3	alone; even; just; only
eva	e/va	praatipadika	4	a horse
eva	eva/	avyaya	4	exactly
eva	e/va	praatipadika	5	course
eva	eva/	avyaya	5	very
gam	gam	dhaatu	0	be going; bring to a place; come; go away; kneel down; move; pass; to fall to the share of; to go; to go to; to go to any state; to go to the earth with the head; to go to the earth with the knees; to let go; to send away; to spend time; to wish to bring; to wish to go
gam	gam	dhaatu	1	approach; condition; denote; explain; guess; intelligible; make clear; meaning; observe; partake of; perceive; to cause to understand; to convey an idea; to impart; to observe; understand
gam	gam	dhaatu	2	ascribe guilt to a person; attack; cause to become; to approach carnally; to approach with an accusation; to cause a person to go by means of another; to cause to go to any condition; to decease; to go against with hostile intentions; to go with the mind
gam	gam	dhaatu	3	grant; obtain; participate in; receive; to excel; to strive to obtain; towards
gam	gam	dhaatu	4	die; not care about
gam	gam	dhaatu	5	set out; undergo
gam	gam	dhaatu	6	have sexual intercourse with
gam	gam	dhaatu	7	make a bow
grah	grah	dhaatu	0	apprehend; overpowered over to any one; seize; strive to apprehend; take; take away; take back; to be about to eclipse; to be about to seize; to be about to take away; to cause any one to be captured; to cause any one to be seized; to cause to take; to eclipse; to take for; to take into the mouth; to take on one's self; to take up
grah	grah	dhaatu	1	begin; familiar with; gather; learn; make acquainted; mention; name; recognise; to make any one learn; undertake
grah	grah	dhaatu	2	claim; obtain; pick; receive; to acquire by purchase; to collect a store of anything; to gain; to receive hospitably; win
grah	grah	dhaatu	3	consider as; observe; to assume; to be meant by; to desire to perceive; to observe; to perceive; to receive into the mind; understand
grah	grah	dhaatu	4	follow; keep; to abstract; to calculate; to include; to use; undergo
grah	grah	dhaatu	5	grasp; lay hold of; put on; to lay the hand on; to place upon; to pluck
grah	grah	dhaatu	6	give away a girl in marriage to any one; to cause to marry; to choose; to choose any one as a wife; to make any one choose
grah	grah	dhaatu	7	accept; admit; approve; to accept; to obey
grah	grah	dhaatu	8	draw water
han	han	dhaatu	0	a killer; killing; slayer
han	han	naama-dhaatu	0	avert; come into contact; hammer; hinder; mar; pound; slay; to hurl upon; to mar; to repress; to slay; to smite
han	han	naama-dhaatu	1	cause to be executed; kill; killed; punish; put to death; to cause to be slain; to notify a person's death; to put to death; to wish to kill
han	han	naama-dhaatu	2	hit; strike upon; to be struck; to strike; to strike off; to strike or tread upon; to touch
han	han	naama-dhaatu	3	abandon; destroy; give up; to dispel; to obstruct; to ward off
han	han	naama-dhaatu	4	beat; injure; to hurt; wound
hari	ha/ri	praatipadika	0	Name of Brahmā; Name of Indra; Name of Suparṇa; Name of Viṣṇu-Kṛṣṇa; Name of Vāyu; Name of Yama; Name of a Dānava; Name of a Rākṣasa; Name of a mountain; Name of a son of Akampana; Name of a son of Garuḍa; Name of a son of Parājit; Name of a son of Parāvṛt; Name of a son of Tārakākṣa; Name of a worshipper of Viṣṇu; Name of Śiva; Name of Śukra; a particular class of gods under Manu Tāmasa
hari	hari	praatipadika	0	bearing; carrying
hari	ha/ri	praatipadika	1	a ray of light; brown; fawn-coloured; green; greenish; pale yellow; reddish brown; the moon; the sign of the zodiac Leo; the sun; the wind; yellow
hari	hari	praatipadika	1	an exclamation
hari	ha/ri	praatipadika	2	Name of various authors; Phaseolus Mungo; a jackal; bay; fallow; fire; men; people; scholars; steed; tawny
hari	ha/ri	praatipadika	3	a frog; a goose; a lion; a monkey; a parrot; a peacock; a snake; the Koil or Indian cuckoo
hari	ha/ri	praatipadika	4	Name of a metre; Name of a particular high number
hari	ha/ri	praatipadika	5	Name of a world
hari	ha/ri	praatipadika	6	a horse
hi	hi	dhaatu	0	delight; hasten on; hurl; impel; set in motion; shoot; to gladden
hi	hi/	avyaya	0	do; just
hi	hi/	dhaatu	0	an interjection of envy and contempt and hurry; indeed-but; often a mere expletive; sometimes repeated in the same sentence
hi	hi	dhaatu	1	help to; incite to; to assist; to convey; to stimulate; urge on
hi	hi/	avyaya	1	pray
hi	hi/	dhaatu	1	certainly; indeed; of course; surely
hi	hi	dhaatu	2	abandon; get rid of; procure; to forsake
hi	hi/	dhaatu	2	because; for; on account of
hi	hi	dhaatu	3	bring; to discharge; to send forth
hi	hi/	dhaatu	3	assuredly; most assuredly
hi	hi	dhaatu	4	cast
hi	hi/	dhaatu	4	especially to avoid a hiatus
kAla	kAla	praatipadika	0	Name of Rudra; Name of a Nāga-rāja; Name of a Rakṣas; Name of a brother of king Prasena-jit; Name of a mountain; Name of a son of Hrada; Name of an enemy of Śiva; Name of Śiva; of the prince Kāla-yavana
