head	lemma	derivation	category	model	method	max
H1	BAva	BAva/	praatipadika	orginal	orginal	30
H1	BAva	BAva/	praatipadika	MPnet	k_hop	18
H1	BAva	BAva/	praatipadika	MPnet	hac	72
H1	BAva	BAva/	praatipadika	MPnet	louvain	14
H1	BAva	BAva/	praatipadika	MPnet	leiden	16
H1	BU	BU	dhaatu	orginal	orginal	2
H1	BU	BU	dhaatu	MPnet	k_hop	2
H1	BU	BU	dhaatu	MPnet	hac	2
H1	BU	BU	dhaatu	MPnet	louvain	2
H1	BU	BU	dhaatu	MPnet	leiden	2
H1	BU	BU/	dhaatu	orginal	orginal	14
H1	BU	BU/	dhaatu	MPnet	k_hop	5
H1	BU	BU/	dhaatu	MPnet	hac	26
H1	BU	BU/	dhaatu	MPnet	louvain	7
H1	BU	BU/	dhaatu	MPnet	leiden	8
H1	Darma	Da/rma	praatipadika	orginal	orginal	27
H1	Darma	Da/rma	praatipadika	MPnet	k_hop	14
H1	Darma	Da/rma	praatipadika	MPnet	hac	49
H1	Darma	Da/rma	praatipadika	MPnet	louvain	13
H1	Darma	Da/rma	praatipadika	MPnet	leiden	14
H1	Darma	Darma	naama-dhaatu	orginal	orginal	1
H1	Darma	Darma	naama-dhaatu	MPnet	k_hop	2
H1	Darma	Darma	naama-dhaatu	MPnet	hac	2
H1	Darma	Darma	naama-dhaatu	MPnet	louvain	2
H1	Darma	Darma	naama-dhaatu	MPnet	leiden	2
H1	agra	a/gra	praatipadika	orginal	orginal	15
H1	agra	a/gra	praatipadika	MPnet	k_hop	10
H1	agra	a/gra	praatipadika	MPnet	hac	30
H1	agra	a/gra	praatipadika	MPnet	louvain	9
H1	agra	a/gra	praatipadika	MPnet	leiden	9
H1	agra	agra	praatipadika	orginal	orginal	1
H1	agra	agra	praatipadika	MPnet	k_hop	1
H1	agra	agra	praatipadika	MPnet	hac	2
H1	agra	agra	praatipadika	MPnet	louvain	1
H1	agra	agra	praatipadika	MPnet	leiden	1
H1	arTa	a/rTa	praatipadika	orginal	orginal	15
H1	arTa	a/rTa	praatipadika	MPnet	k_hop	8
H1	arTa	a/rTa	praatipadika	MPnet	hac	35
H1	arTa	a/rTa	praatipadika	MPnet	louvain	7
H1	arTa	a/rTa	praatipadika	MPnet	leiden	7
H1	banD	banD	dhaatu	orginal	orginal	1
H1	banD	banD	dhaatu	MPnet	k_hop	15
H1	banD	banD	dhaatu	MPnet	hac	68
H1	banD	banD	dhaatu	MPnet	louvain	12
H1	banD	banD	dhaatu	MPnet	leiden	12
H1	brahman	bra/hman	praatipadika	orginal	orginal	11
H1	brahman	bra/hman	praatipadika	MPnet	k_hop	5
H1	brahman	bra/hman	praatipadika	MPnet	hac	24
H1	brahman	bra/hman	praatipadika	MPnet	louvain	6
H1	brahman	bra/hman	praatipadika	MPnet	leiden	6
H1	brahman	brahma/n	praatipadika	orginal	orginal	16
H1	brahman	brahma/n	praatipadika	MPnet	k_hop	5
H1	brahman	brahma/n	praatipadika	MPnet	hac	22
H1	brahman	brahma/n	praatipadika	MPnet	louvain	6
H1	brahman	brahma/n	praatipadika	MPnet	leiden	7
H1	citra	citra	praatipadika	orginal	orginal	1
H1	citra	citra	praatipadika	MPnet	k_hop	2
H1	citra	citra	praatipadika	MPnet	hac	2
H1	citra	citra	praatipadika	MPnet	louvain	2
H1	citra	citra	praatipadika	MPnet	leiden	2
H1	citra	citra/	praatipadika	orginal	orginal	33
H1	citra	citra/	praatipadika	MPnet	k_hop	15
H1	citra	citra/	praatipadika	MPnet	hac	43
H1	citra	citra/	praatipadika	MPnet	louvain	14
H1	citra	citra/	praatipadika	MPnet	leiden	14
H1	dfS	df/S	praatipadika	orginal	orginal	7
H1	dfS	df/S	praatipadika	MPnet	k_hop	3
H1	dfS	df/S	praatipadika	MPnet	hac	13
H1	dfS	df/S	praatipadika	MPnet	louvain	4
H1	dfS	df/S	praatipadika	MPnet	leiden	5
H1	dfS	dfS	praatipadika	orginal	orginal	1
H1	dfS	dfS	praatipadika	MPnet	k_hop	5
H1	dfS	dfS	praatipadika	MPnet	hac	32
H1	dfS	dfS	praatipadika	MPnet	louvain	5
H1	dfS	dfS	praatipadika	MPnet	leiden	7
H1	eka	e/ka	praatipadika	orginal	orginal	12
H1	eka	e/ka	praatipadika	MPnet	k_hop	9
H1	eka	e/ka	praatipadika	MPnet	hac	28
H1	eka	e/ka	praatipadika	MPnet	louvain	9
H1	eka	e/ka	praatipadika	MPnet	leiden	9
H1	eva	e/va	praatipadika	orginal	orginal	5
H1	eva	e/va	praatipadika	MPnet	k_hop	8
H1	eva	e/va	praatipadika	MPnet	hac	15
H1	eva	e/va	praatipadika	MPnet	louvain	9
H1	eva	e/va	praatipadika	MPnet	leiden	9
H1	eva	eva/	avyaya	orginal	orginal	4
H1	eva	eva/	avyaya	MPnet	k_hop	7
H1	eva	eva/	avyaya	MPnet	hac	22
H1	eva	eva/	avyaya	MPnet	louvain	6
H1	eva	eva/	avyaya	MPnet	leiden	7
H1	gam	gam	dhaatu	orginal	orginal	1
H1	gam	gam	dhaatu	MPnet	k_hop	7
H1	gam	gam	dhaatu	MPnet	hac	52
H1	gam	gam	dhaatu	MPnet	louvain	8
H1	gam	gam	dhaatu	MPnet	leiden	11
H1	grah	grah	dhaatu	orginal	orginal	1
H1	grah	grah	dhaatu	MPnet	k_hop	8
H1	grah	grah	dhaatu	MPnet	hac	62
H1	grah	grah	dhaatu	MPnet	louvain	6
H1	grah	grah	dhaatu	MPnet	leiden	8
H1	han	han	dhaatu	orginal	orginal	1
H1	han	han	dhaatu	MPnet	k_hop	1
H1	han	han	dhaatu	MPnet	hac	3
H1	han	han	dhaatu	MPnet	louvain	1
H1	han	han	dhaatu	MPnet	leiden	1
H1	han	han	naama-dhaatu	orginal	orginal	1
H1	han	han	naama-dhaatu	MPnet	k_hop	3
H1	han	han	naama-dhaatu	MPnet	hac	32
H1	han	han	naama-dhaatu	MPnet	louvain	4
H1	han	han	naama-dhaatu	MPnet	leiden	6
H1	hari	ha/ri	praatipadika	orginal	orginal	31
H1	hari	ha/ri	praatipadika	MPnet	k_hop	9
H1	hari	ha/ri	praatipadika	MPnet	hac	46
H1	hari	ha/ri	praatipadika	MPnet	louvain	7
H1	hari	ha/ri	praatipadika	MPnet	leiden	7
H1	hari	hari	praatipadika	orginal	orginal	2
H1	hari	hari	praatipadika	MPnet	k_hop	2
H1	hari	hari	praatipadika	MPnet	hac	3
H1	hari	hari	praatipadika	MPnet	louvain	2
H1	hari	hari	praatipadika	MPnet	leiden	2
H1	hi	hi	dhaatu	orginal	orginal	1
H1	hi	hi	dhaatu	MPnet	k_hop	3
H1	hi	hi	dhaatu	MPnet	hac	21
H1	hi	hi	dhaatu	MPnet	louvain	4
H1	hi	hi	dhaatu	MPnet	leiden	4
H1	hi	hi/	avyaya	orginal	orginal	1
H1	hi	hi/	avyaya	MPnet	k_hop	2
H1	hi	hi/	avyaya	MPnet	hac	3
H1	hi	hi/	avyaya	MPnet	louvain	2
H1	hi	hi/	avyaya	MPnet	leiden	2
H1	hi	hi/	dhaatu	orginal	orginal	2
H1	hi	hi/	dhaatu	MPnet	k_hop	6
H1	hi	hi/	dhaatu	MPnet	hac	12
H1	hi	hi/	dhaatu	MPnet	louvain	7
H1	hi	hi/	dhaatu	MPnet	leiden	7
H1	kAla	kAla	praatipadika	orginal	orginal	25
H1	kAla	kAla	praatipadika	MPnet	k_hop	6
H1	kAla	kAla	praatipadika	MPnet	hac	25
H1	kAla	kAla	praatipadika	MPnet	louvain	7
H1	kAla	kAla	praatipadika	MPnet	leiden	7
H1	kAla	kAla/	praatipadika	orginal	orginal	13
H1	kAla	kAla/	praatipadika	MPnet	k_hop	4
H1	kAla	kAla/	praatipadika	MPnet	hac	19
H1	kAla	kAla/	praatipadika	MPnet	louvain	5
H1	kAla	kAla/	praatipadika	MPnet	leiden	6
H1	karman	ka/rman	praatipadika	orginal	orginal	12
H1	karman	ka/rman	praatipadika	MPnet	k_hop	7
H1	karman	ka/rman	praatipadika	MPnet	hac	25
H1	karman	ka/rman	praatipadika	MPnet	louvain	8
H1	karman	ka/rman	praatipadika	MPnet	leiden	8
H1	kavi	kav	praatipadika	orginal	orginal	4
H1	kavi	kav	praatipadika	MPnet	k_hop	2
H1	kavi	kav	praatipadika	MPnet	hac	14
H1	kavi	kav	praatipadika	MPnet	louvain	2
H1	kavi	kav	praatipadika	MPnet	leiden	2
H1	kavi	kavi/	praatipadika	orginal	orginal	27
H1	kavi	kavi/	praatipadika	MPnet	k_hop	9
H1	kavi	kavi/	praatipadika	MPnet	hac	39
H1	kavi	kavi/	praatipadika	MPnet	louvain	8
H1	kavi	kavi/	praatipadika	MPnet	leiden	8
H1	kf	kf	dhaatu	orginal	orginal	3
H1	kf	kf	dhaatu	MPnet	k_hop	3
H1	kf	kf	dhaatu	MPnet	hac	3
H1	kf	kf	dhaatu	MPnet	louvain	3
H1	kf	kf	dhaatu	MPnet	leiden	3
H1	mad	mad	dhaatu	orginal	orginal	3
H1	mad	mad	dhaatu	MPnet	k_hop	5
H1	mad	mad	dhaatu	MPnet	hac	22
